流水號,課      程      名      稱,"必選
修別","全/半
學年","半學年
學分數","上課
時數",上    課    時    間,,,,,,,"使  用
教  室","授  課
教  師",備          註
,,,,,,一,二,三,四,五,六,日,,,
9701,農園產品智慧冷鏈物流實務,選,,2.0,2.0,,,,,,,,AR  115,"梁佑慎
鍾興穎",學程:精準健康產業跨領域人才培育      【四技生修讀】授課時間6/23-6/28每天09:00-16:00(農學院)
9702,精準農園在高齡產業之發展,選,,2.0,2.0,,,,,,,,AR  115,鍾興穎,"遠距教學  學程:精準健康產業跨領域人才培育      【四技
生修讀】授課時間8/25-8/30每天09:00-16:00(農學院)"
9703,農產品國際行銷管理,選,,2.0,2.0,,,,,,,,AR  115,陳灯能,"遠距教學  學程:精準健康產業跨領域人才培育      【四技
生修讀】授課時間8/4-8/9每天09:00-16:00(農學院)"
9704,"精準農業及生技產業創業理
論與應用",選,,2.0,2.0,,,,,,,,AR  115,徐睿良,遠距教學  學程:精準健康產業跨領域人才培育      【四技生修讀】授課時間9/1-9/6每天09:00-16:00(農學院)
9705,國際行銷與跨域創業,選,,2.0,2.0,,,,,,,,AR  114,劉展冏,"遠距教學  學程:精準健康產業跨領域人才培育      【四技
生修讀】授課時間06/30-07/04(農學院)"
9706,"國際食品產業智能化發展實
務",選,,2.0,2.0,,,,,,,,AR  114,劉展冏,遠距教學  學程:精準健康產業跨領域人才培育      【四技生修讀】授課時間08/11-08/16(農學院)
9707,精準營養與高齡健康促進,選,,2.0,2.0,,,,,,,,AR  102,劉展冏,"學程:精準健康產業跨領域人才培育      【四技生修讀】授
課時間08/18-08/23(農學院)"
9708,人工智能在食品工業之應用,選,,2.0,2.0,,,,,,,,AR  114,詹國靖,"學程:精準健康產業跨領域人才培育      【四技生修讀】授
課時間08/25-08/29(農學院)"
9709,人工智慧與AR/VR開發應用,選,,2.0,2.0,,,,,,,,AR  114,鄭博元,"學程:精準健康產業跨領域人才培育      【四技生修讀】授
課時間09/01-09/05(農學院)"
9710,"食品安全管制系統
(HACCP)基礎訓練",選,,2.0,2.0,,,,,,,,AR  102,羅之綱,學程:精準健康產業跨領域人才培育      【四技生修讀】授課時間08/02-08/03、08/09-08/11(農學院)
9711,飲食產業與健康促進,選,,2.0,2.0,,,,,,,,AR  102,羅之綱,"學程:精準健康產業跨領域人才培育      【四技生修讀】授
課時間07/28-08/01(農學院)"
9712,"可可產業夥伴關係建構及交
流",選,,1.0,1.0,,,,,,,,,蘇曼農,學程:可可產業大學社會責任實踐跨域微學程      【四技生修讀】(農學院)
9713,農園產品智慧冷鏈物流實務,選,,2.0,2.0,,,,,,,,AR  115,"梁佑慎
鍾興穎",學程:精準健康產業跨領域人才培育      【研究生修讀】授課時間6/23-6/28每天09:00-16:00(農學院)
9714,精準農園在高齡產業之發展,選,,2.0,2.0,,,,,,,,AR  115,鍾興穎,"遠距教學  學程:精準健康產業跨領域人才培育      【研究
生修讀】授課時間8/25-8/30每天09:00-16:00(農學院)"
9715,農產品國際行銷管理,選,,2.0,2.0,,,,,,,,AR  115,陳灯能,"遠距教學  學程:精準健康產業跨領域人才培育      【研究
生修讀】授課時間8/4-8/9每天09:00-16:00(農學院)"
9716,"精準農業及生技產業創業理
論與應用",選,,2.0,2.0,,,,,,,,AR  115,徐睿良,遠距教學  學程:精準健康產業跨領域人才培育      【研究生修讀】授課時間9/1-9/6每天09:00-16:00(農學院)
9717,國際行銷與跨域創業,選,,2.0,2.0,,,,,,,,AR  114,劉展冏,"遠距教學  學程:精準健康產業跨領域人才培育      【研究
生修讀】授課時間06/30-07/04(農學院)"
9718,"國際食品產業智能化發展實
務",選,,2.0,2.0,,,,,,,,AR  114,劉展冏,遠距教學  學程:精準健康產業跨領域人才培育      【研究生修讀】授課時間08/11-08/16(農學院)
9719,精準營養與高齡健康促進,選,,2.0,2.0,,,,,,,,AR  102,劉展冏,"學程:精準健康產業跨領域人才培育      【研究生修讀】授
課時間08/18-08/23(農學院)"
9720,人工智能在食品工業之應用,選,,2.0,2.0,,,,,,,,AR  114,詹國靖,"學程:精準健康產業跨領域人才培育      【研究生修讀】授
課時間08/25-08/29(農學院)"
9721,人工智慧與AR/VR開發應用,選,,2.0,2.0,,,,,,,,AR  114,鄭博元,"學程:精準健康產業跨領域人才培育      【研究生修讀】授
課時間09/01-09/05(農學院)"
9722,"食品安全管制系統
(HACCP)基礎訓練",選,,2.0,2.0,,,,,,,,AR  102,羅之綱,學程:精準健康產業跨領域人才培育      【研究生修讀】授課時間08/02-08/03、08/09-08/11(農學院)
9723,飲食產業與健康促進,選,,2.0,2.0,,,,,,,,AR  102,羅之綱,"學程:精準健康產業跨領域人才培育      【研究生修讀】授
課時間07/28-08/01(農學院)"
9724,"可可產業夥伴關係建構及交
流",選,,1.0,1.0,,,,,,,,,蘇曼農,學程:可可產業大學社會責任實踐跨域微學程      【研究生修讀】(農學院)
9725,犬隻服從訓練與實習,選,,2.0,2.0,,,3  4,,,,,功能訓練,羅書姍,"學程:工作犬訓練學程      不開放網路選課，請於加退選期
間至工作犬訓練中心辦公室加選(獸醫學院)"
9726,協助犬訓練技術與實習,選,,2.0,2.0,,,5  6,,,,,功能訓練,羅書姍,"學程:工作犬訓練學程      不開放網路選課，請於加退選期
間至工作犬訓練中心辦公室加選(獸醫學院)"
9727,犬隻行為學,選,,2.0,2.0,,,,,7  8,,,VM  104,蘇書平,學程:工作犬訓練學程      (獸醫學院)
9728,地緣政治、文化與世界事務,選,,2.0,2.0,,,,7  8,,,,IC  308,吳雪鳳,"英語授課  【研究生修讀】修讀人數20人，開放全校碩博
士生修讀。(國際學院)"
9729,落實3R於水生動物與野生動物之科學應用,選,,1.0,1.0,,1,,,,,,,蔡明安陳貞志,"學程:動物實驗替代科技人才培育      【四技生修讀】(獸醫學院)114年7月15日~17日3-8節上課。不開放網路選
課，選讀同學請洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9730,禽類實驗動物之3R替代科技,選,,1.0,1.0,,2,,,,,,,連一洋鄭明珠,"學程:動物實驗替代科技人才培育      【四技生修讀】(獸醫學院)114年7月8日~10日3-8節上課。不開放網路選
課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9731,實驗豬隻之3R認知,選,,1.0,1.0,,3,,,,,,,"邱明堂林昭男林韋豪
林璟鴻","學程:動物實驗替代科技人才培育      【四技生修讀】(獸醫學院)114年7月22日~24日3-8節上課。不開放網路選
課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9732,數位醫學影像處理結合3D列印實作,選,,1.0,1.0,,4,,,,,,,林莉萱林春福,"學程:動物實驗替代科技人才培育      【四技生修讀】(獸醫學院)114年7月1日~3日3-8節上課。不開放網路選課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9733,擴增實境模擬動物實驗課程,選,,2.0,2.0,1  2,,,,,,,,潘昱儀林思廷,"學程:動物實驗替代科技人才培育      【四技生修讀】(獸醫學院)114年8月11日~8月15日上課(週一到四1-8節，週五 1-4節)。不開放網路選課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9734,"智能化生醫科技與微流體
3R應用",選,,2.0,2.0,3  4,,,,,,,,潘昱儀林璟鴻,"學程:動物實驗替代科技人才培育      【四技生修讀】(獸醫學院)114年8月4日~8月8日(週一到四1-8節，週五1-4節)上課。不開放網路選課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9735,落實3R於水生動物與野生動物之科學應用,選,,1.0,1.0,,1,,,,,,,蔡明安陳貞志,"學程:動物實驗替代科技人才培育      【研究生修讀】(獸醫學院)114年7月15日~17日3-8節上課。不開放網路選
課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9736,禽類實驗動物之3R替代科技,選,,1.0,1.0,,2,,,,,,,連一洋鄭明珠,"學程:動物實驗替代科技人才培育      【研究生修讀】(獸醫學院)114年7月8日~10日3-8節上課。不開放網路選
課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9737,實驗豬隻之3R認知,選,,1.0,1.0,,3,,,,,,,"邱明堂林昭男林韋豪
林璟鴻","學程:動物實驗替代科技人才培育      【研究生修讀】(獸醫學院)114年7月22日~24日3-8節上課。不開放網路選
課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9738,數位醫學影像處理結合3D列印實作,選,,1.0,1.0,,4,,,,,,,林莉萱林春福,"學程:動物實驗替代科技人才培育      【研究生修讀】(獸醫學院)114年7月1日~3日3-8節上課。不開放網路選課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9739,擴增實境模擬動物實驗課程,選,,2.0,2.0,1  2,,,,,,,,潘昱儀林思廷,"學程:動物實驗替代科技人才培育      【研究生修讀】(獸醫學院)114年8月11日~8月15日上課(週一到四1-8節，週五 1-4節)。不開放網路選課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9740,"智能化生醫科技與微流體
3R應用",選,,2.0,2.0,3  4,,,,,,,,潘昱儀林璟鴻,"學程:動物實驗替代科技人才培育      【研究生修讀】(獸醫學院)114年8月4日~8月8日(週一到四1-8節，週五1-4節)上課。不開放網路選課，選讀洽獸醫學院辦公室(課程資
訊https://vetmed.npust.edu.tw/114-course/)"
9741,無人機飛行實務,選,,3.0,3.0,,5  6  7,,,,,,SAM305,"徐子圭
張鴻彬",(限10人)  合班:智慧機電學程二A、達人學院(達人學院)
9742,無人載具應用實作,選,,3.0,4.0,,"5  6  7
8",,,,,,SAM302,"魏浚紘
龔志賢",(限10人)  合班:智慧機電學程三A、達人學院(達人學院)
9743,綠色創新設計,選,,3.0,3.0,,,,2  3  4,,,,AIM301,"葉桂君龍暐
董勁吾",(限10人)  合班:智慧機電學程四A、達人學院(達人學院)
9744,物聯網實務,選,,3.0,3.0,,,,,2  3  4,,,IH  212,吳宗哲,(限20人)  (達人學院)
9745,3D建模設計,選,,2.0,2.0,,,,,3  4,,,BD  104,鄭朝元,"學程:3D數位製造跨域微學程      (開學第一週開放加選)40
人(達人學院)"
9746,數位影音製作(微型課程),選,,0.6,0.6,,,,,,2,,IH  115,陳秀足,"學程:行銷設計學堂(達人學院)      10/18、19上課，時
間：9:00-16:00(限30人)(達人學院)"
9747,數位行銷與實作(微型課程),選,,0.6,0.6,,,,,,2,,IH  212,陳秀足,"學程:行銷設計學堂(達人學院)      10/18、19上課，時
間：9:00-16:00(限30人)(達人學院)"
9748,"職場人際溝通與衝突管理
(微型課程)",選,,0.3,0.3,,,,,,7,,IH  115,陳秀足,"學程:職能培力學堂(達人學院)      11/22上課，時間：
9:00-16:00(限40人)(達人學院)"
9749,"職場問題分析與解決(微型
課程)",選,,0.3,0.3,,,,,,,2,IH  115,陳秀足,學程:職能培力學堂(達人學院)      11/23上課，時間9:00- 16:00(限40人)(達人學院)
9750,時間管理與實作(微型課程),選,,0.3,0.3,,,,,,,3,IH  115,陳秀足,"學程:職能培力學堂(達人學院)      12/7上課，時間9:00-
16:00(限40人)(達人學院)"
9751,"天賦潛能開發與運用(微型
課程)",選,,0.3,0.3,,,,,,4  5,,IH  115,陳秀足,"學程:職能培力學堂(達人學院)      9/20上課，時間：9:00
-16:00(限40人)(達人學院)"
9752,職涯設計規劃(微型課程),選,,0.3,0.3,,,,,,6,,IH  115,陳秀足,"學程:職能培力學堂(達人學院)      12/6上課，時間：9:00
-16:00(限40人)(達人學院)"
9753,3D掃描與逆向工程實作(微型課程),選,,1.0,1.0,,,,,,2,,BD  104,"侯博倫
鄭朝元",學程:3D數位製造跨域微學程  創新創業學堂(達人學院) 10/18、19上課，時間9:00-17:00(開學第一周開放加選) (限0人)(達人學院)
9754,3D列印製程實務-材料擠製成型(微型課程),選,,0.5,0.5,,,,,,8,,BD  104,"侯博倫
鄭朝元",學程:3D數位製造跨域微學程  創新創業學堂(達人學院) 10/25上課，時間：9:00-17:00(開學第一周開放加選)(限0人)(達人學院)
9755,光固化成型實務(微型課程),選,,0.5,0.5,,,,,,3,,BD  104,"侯博倫
鄭朝元",學程:3D數位製造跨域微學程  創新創業學堂(達人學院) 11/15上課，時間：9:00-17:00(開學第一周開放加選)(限0人)(達人學院)
9756,創業與募資實戰模擬(1)(微型課程),選,,1.0,1.0,,,,,5,6,,"拼創教室
拼創教室","陳又嘉
王采蕎","學程:創新創業學堂(達人學院)      9/27、11/28、29、
12/6上課，時間：13:00-17:00(限50人)，11/29為
9:00~16:00(達人學院)"
9757,創新創業實作(2)(微型課程),選,,1.0,1.0,,9  10,,,,8,,"拼創教室
拼創教室","吳宗孟
王采蕎",學程:創新創業學堂(達人學院)      10/21、25、28、 11/11上課，週二時間：17:30-20:30，10/25為8時至17時上課(限50人)(達人學院)
9758,健康照護科技專題與創業實作(微型課程),選,,1.0,1.0,,,,,,5,1,"拼創教室
拼創教室",王采蕎,學程:創新創業學堂(達人學院)      9/13、14、20、21上課，週六時間：13:00-18:00，週日時間：8:00-18:00(限 40人)(達人學院)
9759,"從AI到生活：智慧健康照護
初探(微型課程)",選,,1.0,1.0,,11  12,,,,,,拼創教室,王采蕎,"學程:創新創業學堂(達人學院)      9/16、23、30、10/7、
14上課，時間：17:30-21:30(限40人)(達人學院)"
9760,健檢概論與預防醫學(1),選,,1.0,1.0,,,,,,2  3  4,,IH  212,王仁星,"學程:永續發展學堂(達人學院)      9/20、10/18、11/15、
12/6、27上課，時間：8:30-11:30(限30人)(達人學院)"
9761,居家保健與用藥新知,選,,1.0,1.0,,,,,6,8,,"IH  212
IH  212",許雯晴,"學程:永續發展學堂(達人學院)      9/19、10/3、17、25上課，時間：13:00-18:00。最後一次周六上課須自行前往高雄長庚參訪。課程資訊置於數位學習平台(限20人)(達人學
院)"
9762,"ISO14067碳足跡工作坊(微
型課程)",選,,1.0,1.0,,,,,,,1,CM  104,劉芳怡,學程:永續發展學堂(達人學院)      9/21、10/26上課，時間：8:00-18:00(限30人)(達人學院)
9763,"生活中的心理測驗：量表建
構與評估(微型課程)",選,,1.0,1.0,,,,7,,,,IH  212,楊麗珠,學程:永續發展學堂(達人學院)      (限20人)每週授課(達人學院)
